DATE,REGION,FATAL,SERIOUS,NOINJURY,OTHER
6/01/2017,EASTERN REGION,0,1,0,3
7/01/2017,EASTERN REGION,0,0,0,1
8/01/2017,EASTERN REGION,0,2,0,1
9/01/2017,EASTERN REGION,0,0,0,1
10/01/2017,EASTERN REGION,0,0,0,2
11/01/2017,EASTERN REGION,0,1,0,2
12/01/2017,EASTERN REGION,0,3,0,1
13/01/2017,EASTERN REGION,0,0,0,2
14/01/2017,EASTERN REGION,0,0,0,2
15/01/2017,EASTERN REGION,0,2,0,2
16/01/2017,EASTERN REGION,0,0,0,0
17/01/2017,EASTERN REGION,2,2,0,0
18/01/2017,EASTERN REGION,0,1,0,0
19/01/2017,EASTERN REGION,0,0,0,1
20/01/2017,EASTERN REGION,0,1,0,1
21/01/2017,EASTERN REGION,0,1,0,3
22/01/2017,EASTERN REGION,1,2,0,1
23/01/2017,EASTERN REGION,0,2,0,3
24/01/2017,EASTERN REGION,0,0,0,1
25/01/2017,EASTERN REGION,0,1,0,2
26/01/2017,EASTERN REGION,0,2,0,1
27/01/2017,EASTERN REGION,0,0,0,1
28/01/2017,EASTERN REGION,0,1,0,0
29/01/2017,EASTERN REGION,0,1,0,0
30/01/2017,EASTERN REGION,0,1,0,1
31/01/2017,EASTERN REGION,0,0,0,0
1/02/2017,EASTERN REGION,0,2,0,1
2/02/2017,EASTERN REGION,0,0,0,0
3/02/2017,EASTERN REGION,0,0,0,0
4/02/2017,EASTERN REGION,0,0,0,1
5/02/2017,EASTERN REGION,0,1,0,1
6/02/2017,EASTERN REGION,0,1,0,0
7/02/2017,EASTERN REGION,1,0,0,0
8/02/2017,EASTERN REGION,0,0,0,2
9/02/2017,EASTERN REGION,0,0,0,1
10/02/2017,EASTERN REGION,0,1,0,1
11/02/2017,EASTERN REGION,0,0,0,0
12/02/2017,EASTERN REGION,0,1,0,1
13/02/2017,EASTERN REGION,0,2,0,4
14/02/2017,EASTERN REGION,0,0,0,0
15/02/2017,EASTERN REGION,0,1,0,1
16/02/2017,EASTERN REGION,0,0,0,1
17/02/2017,EASTERN REGION,0,3,0,1
18/02/2017,EASTERN REGION,0,1,0,2
19/02/2017,EASTERN REGION,0,3,0,1
20/02/2017,EASTERN REGION,0,0,0,1
21/02/2017,EASTERN REGION,0,0,0,2
22/02/2017,EASTERN REGION,0,1,0,1
23/02/2017,EASTERN REGION,1,1,0,2
24/02/2017,EASTERN REGION,0,2,0,1
25/02/2017,EASTERN REGION,0,1,0,1
26/02/2017,EASTERN REGION,0,2,0,0
27/02/2017,EASTERN REGION,0,1,0,1
28/02/2017,EASTERN REGION,0,0,0,0
1/03/2017,EASTERN REGION,0,0,0,0
2/03/2017,EASTERN REGION,0,2,0,3
3/03/2017,EASTERN REGION,0,1,0,1
4/03/2017,EASTERN REGION,0,2,0,5
5/03/2017,EASTERN REGION,0,0,0,2
6/03/2017,EASTERN REGION,0,3,0,2
7/03/2017,EASTERN REGION,0,0,0,0
8/03/2017,EASTERN REGION,0,0,0,0
9/03/2017,EASTERN REGION,0,0,0,0
10/03/2017,EASTERN REGION,0,0,0,0
11/03/2017,EASTERN REGION,1,2,0,0
12/03/2017,EASTERN REGION,0,0,0,1
13/03/2017,EASTERN REGION,0,3,0,2
14/03/2017,EASTERN REGION,0,1,0,0
15/03/2017,EASTERN REGION,0,0,0,1
16/03/2017,EASTERN REGION,0,2,0,5
17/03/2017,EASTERN REGION,0,0,0,3
18/03/2017,EASTERN REGION,0,0,0,3
19/03/2017,EASTERN REGION,0,0,0,1
20/03/2017,EASTERN REGION,0,2,0,1
21/03/2017,EASTERN REGION,0,0,0,2
22/03/2017,EASTERN REGION,0,2,0,2
23/03/2017,EASTERN REGION,0,1,0,0
24/03/2017,EASTERN REGION,0,2,0,2
25/03/2017,EASTERN REGION,1,2,0,2
26/03/2017,EASTERN REGION,0,1,0,3
27/03/2017,EASTERN REGION,0,3,0,2
28/03/2017,EASTERN REGION,0,0,0,1
29/03/2017,EASTERN REGION,0,2,0,0
30/03/2017,EASTERN REGION,0,2,0,0
31/03/2017,EASTERN REGION,0,0,0,3
1/04/2017,EASTERN REGION,0,4,0,1
2/04/2017,EASTERN REGION,0,0,0,1
3/04/2017,EASTERN REGION,0,1,0,2
4/04/2017,EASTERN REGION,0,1,0,2
5/04/2017,EASTERN REGION,0,0,0,2
6/04/2017,EASTERN REGION,0,0,0,0
7/04/2017,EASTERN REGION,0,2,0,2
8/04/2017,EASTERN REGION,0,0,0,0
9/04/2017,EASTERN REGION,0,0,0,1
10/04/2017,EASTERN REGION,0,1,0,1
11/04/2017,EASTERN REGION,0,0,0,0
12/04/2017,EASTERN REGION,0,3,0,1
13/04/2017,EASTERN REGION,0,0,0,1
14/04/2017,EASTERN REGION,0,3,0,4
15/04/2017,EASTERN REGION,0,1,0,1
16/04/2017,EASTERN REGION,0,0,0,0
17/04/2017,EASTERN REGION,0,0,0,2
18/04/2017,EASTERN REGION,1,1,0,2
19/04/2017,EASTERN REGION,1,0,0,2
20/04/2017,EASTERN REGION,0,0,0,0
21/04/2017,EASTERN REGION,0,1,0,3
22/04/2017,EASTERN REGION,0,1,0,0
23/04/2017,EASTERN REGION,1,2,0,2
24/04/2017,EASTERN REGION,0,1,0,0
25/04/2017,EASTERN REGION,0,2,0,5
26/04/2017,EASTERN REGION,0,1,0,4
27/04/2017,EASTERN REGION,0,0,0,1
28/04/2017,EASTERN REGION,0,0,0,1
29/04/2017,EASTERN REGION,0,2,0,0
30/04/2017,EASTERN REGION,0,2,0,1
1/05/2017,EASTERN REGION,0,2,0,2
2/05/2017,EASTERN REGION,1,1,0,1
3/05/2017,EASTERN REGION,0,0,0,3
4/05/2017,EASTERN REGION,0,0,0,1
5/05/2017,EASTERN REGION,0,1,0,0
6/05/2017,EASTERN REGION,0,0,0,4
7/05/2017,EASTERN REGION,0,1,0,0
8/05/2017,EASTERN REGION,0,1,0,2
9/05/2017,EASTERN REGION,0,0,0,1
10/05/2017,EASTERN REGION,0,2,0,0
11/05/2017,EASTERN REGION,0,1,0,1
12/05/2017,EASTERN REGION,0,0,0,1
13/05/2017,EASTERN REGION,0,1,0,0
14/05/2017,EASTERN REGION,0,0,0,1
15/05/2017,EASTERN REGION,1,0,0,1
16/05/2017,EASTERN REGION,0,0,0,1
17/05/2017,EASTERN REGION,1,0,0,0
18/05/2017,EASTERN REGION,0,1,0,0
19/05/2017,EASTERN REGION,1,2,0,3
20/05/2017,EASTERN REGION,0,1,0,4
21/05/2017,EASTERN REGION,0,1,0,2
22/05/2017,EASTERN REGION,0,1,0,0
23/05/2017,EASTERN REGION,0,1,0,1
24/05/2017,EASTERN REGION,0,0,0,2
25/05/2017,EASTERN REGION,0,1,0,0
26/05/2017,EASTERN REGION,0,0,0,1
27/05/2017,EASTERN REGION,0,1,0,1
28/05/2017,EASTERN REGION,0,1,0,1
29/05/2017,EASTERN REGION,0,0,0,1
30/05/2017,EASTERN REGION,0,0,0,0
31/05/2017,EASTERN REGION,0,0,0,2
1/06/2017,EASTERN REGION,0,0,0,1
2/06/2017,EASTERN REGION,0,1,0,1
3/06/2017,EASTERN REGION,0,1,0,0
4/06/2017,EASTERN REGION,0,0,0,1
5/06/2017,EASTERN REGION,0,2,0,1
6/06/2017,EASTERN REGION,0,0,0,1
7/06/2017,EASTERN REGION,0,1,0,0
8/06/2017,EASTERN REGION,0,0,0,1
9/06/2017,EASTERN REGION,0,0,0,1
10/06/2017,EASTERN REGION,0,3,0,3
11/06/2017,EASTERN REGION,0,0,0,1
12/06/2017,EASTERN REGION,0,1,0,2
13/06/2017,EASTERN REGION,0,0,0,2
14/06/2017,EASTERN REGION,0,0,0,1
15/06/2017,EASTERN REGION,0,0,0,3
16/06/2017,EASTERN REGION,0,0,0,1
17/06/2017,EASTERN REGION,0,0,0,2
18/06/2017,EASTERN REGION,2,0,0,2
19/06/2017,EASTERN REGION,0,1,0,2
20/06/2017,EASTERN REGION,0,1,0,2
21/06/2017,EASTERN REGION,0,0,0,1
22/06/2017,EASTERN REGION,0,1,0,0
23/06/2017,EASTERN REGION,0,0,0,1
24/06/2017,EASTERN REGION,0,0,0,0
25/06/2017,EASTERN REGION,0,2,0,1
26/06/2017,EASTERN REGION,0,1,0,0
27/06/2017,EASTERN REGION,0,0,0,0
28/06/2017,EASTERN REGION,0,0,0,0
29/06/2017,EASTERN REGION,1,0,0,2
30/06/2017,EASTERN REGION,0,0,0,0
1/07/2017,EASTERN REGION,0,1,0,0
2/07/2017,EASTERN REGION,0,3,0,0
3/07/2017,EASTERN REGION,0,0,0,1
4/07/2017,EASTERN REGION,0,0,0,1
5/07/2017,EASTERN REGION,0,0,0,1
6/07/2017,EASTERN REGION,0,1,0,1
7/07/2017,EASTERN REGION,0,0,0,0
8/07/2017,EASTERN REGION,0,0,0,1
9/07/2017,EASTERN REGION,0,1,0,2
10/07/2017,EASTERN REGION,0,0,0,0
11/07/2017,EASTERN REGION,0,1,0,1
12/07/2017,EASTERN REGION,0,0,0,1
13/07/2017,EASTERN REGION,0,0,0,0
14/07/2017,EASTERN REGION,0,0,0,3
15/07/2017,EASTERN REGION,0,0,0,1
16/07/2017,EASTERN REGION,1,1,0,0
17/07/2017,EASTERN REGION,0,0,0,2
18/07/2017,EASTERN REGION,0,0,0,1
19/07/2017,EASTERN REGION,0,0,0,0
20/07/2017,EASTERN REGION,0,2,0,1
21/07/2017,EASTERN REGION,0,1,0,2
22/07/2017,EASTERN REGION,1,0,0,1
23/07/2017,EASTERN REGION,0,0,0,0
24/07/2017,EASTERN REGION,0,0,0,0
25/07/2017,EASTERN REGION,0,1,0,1
26/07/2017,EASTERN REGION,0,1,0,2
27/07/2017,EASTERN REGION,0,0,0,2
28/07/2017,EASTERN REGION,0,1,0,1
29/07/2017,EASTERN REGION,0,0,0,1
